PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,2,gkyyupqxyupngwegiedcbsoxgffyxyieoackupxt0,female,47.54895454721817,3,3,349231,399.1557743866004,C85,Q
1,1,3,djyjwsgmlarnrafswatkolmgowsfhmtrarafrxle1,female,11.393900569299465,1,1,392096,352.8902424579812,B3,C
2,1,2,japuexjzdxzsvofdwuvumtixofiscykokpxjbamw2,female,45.862454320125934,5,3,350052,58.65599627976129,D45,S
3,0,1,dbwiiygrtmvzxjbmwldoctgkdxcbawywmezbxkwv3,male,,2,6,349227,17.575730251174175,B39,C
4,1,3,detiipwurjhjnjvfzdzqchppmkbarijleaqxajka4,male,21.345229749415704,3,6,33638,5.305117008833464,E49,Q
5,0,2,xoafkfxiuijoaqvqtplqldcywdmucnpxrmxndpbz5,male,54.1813621163257,4,0,364851,269.72267505190285,A34,C
6,1,3,jhvubapdfozrpzorzlcwlsmmklopallphswyqmpq6,female,49.77923293291521,4,5,343276,418.58013872387266,E36,S
7,1,2,saydkrdohmftgwdcjelktdigtqtdpapgogsuzjmg7,male,35.37073458576936,0,4,PC 17754,25.064541876654864,D,Q
8,1,3,qxjiwulvbjwsmbqvofyccrmvmqxkqvztcxqmabnd8,male,69.26988133706806,2,3,STON/O 2. 3101269,306.676840792445,B101,C
9,0,3,jmjywbpcnaakqylzwfdotgtrxqzcwjrmykskxxeq9,female,62.00137928057223,0,4,315086,56.58598486996391,E44,
10,1,3,sadckrivpoyscpxtplsagkpnebimlrayaxmcpsmm10,female,58.44727713499157,3,3,C 17369,193.81511582803992,C62 C64,Q
11,1,2,csnvietjagrwzrwzwwllgeiptqaknhdrtllgkgtj11,male,51.78138117019225,5,5,349213,418.30251538509333,E36,S
12,0,1,negrurvdocssiqobvuoqwkosvhzszbjbifomwdyt12,male,78.02914899929739,2,6,349248,306.59157972627753,B102,Q
13,1,2,pyltlesiedvprwvchaaihpnufrqyuemlkynlalhf13,male,5.520432782866422,3,4,SC/PARIS 2131,177.38184197068324,A10,C
14,1,1,rtbebbggobdxudwfntpfurgtywzrelrnwjgmvgmu14,female,7.4063449283415945,5,0,113798,296.79604179898746,C99,
15,1,3,wqwkvrixnipmypxsfjbybkcodtmxksyeytkfedej15,male,38.69149023777115,1,0,11752,351.4599946409085,E50,Q
16,0,1,jpdkdgoyfiiioiiqdvdgwfaqvpaqyhxernsrdekz16,male,5.395764732281151,1,4,112052,452.9329483772476,C70,C
17,0,3,sqrrolekhbzwvuplrsyljvfubzsmmgzgcfkrgqws17,male,47.80888035249763,5,4,CA. 2343,316.44924042426004,B3,S
18,0,1,gnigzcuzsuxyaufvbgnnwxfbdjfexmqetgblsytu18,male,71.97350340915382,0,2,A/5. 10482,23.47393948743601,B5,C
19,1,1,panvgyzktoqcvryyzotitawqjeuonqnyagfyjuvu19,male,47.41285438203043,5,4,PC 17595,125.50665554771474,E50,Q
20,0,3,ppmmmoxxnszefigcbcpcadukzdvxegvzovortmnc20,female,79.6107183167991,1,4,STON/O 2. 3101294,290.25135932896416,B42,S
21,0,3,aawxgkxqwwwlabuungfqcfgunctkvkbgmqslkuvm21,female,73.27607717832163,2,2,C.A. 17248,377.7760518317001,C22 C26,Q
22,1,2,pqfoxupqtmazheifpjljgwibmslvrviknjqapsqa22,male,39.135000526327055,5,1,345780,461.32918809927094,D30,Q
23,0,3,jihdaqaaoshcycqkwsjlmutnuaswxrxqgvsxfolm23,female,63.68147754782465,3,1,A/5. 13032,456.3920505012559,C65,
24,1,3,gdnfblyleinaccmxvqhcdgisqumbnipyrffazels24,male,7.12057206509154,5,0,14312,14.469952991614042,B96 B98,C
25,1,1,zmvgjfflajfenothszifwwiydoltjnjqksoesbhv25,female,38.10965586478635,1,4,364846,152.4770268149162,D37,
26,0,2,rdxebwvtdgcpvhuaycgwuijlnjyunwnumvfmojhf26,female,76.42169010690402,1,4,19950,291.0847808664403,B78,S
27,0,2,tevgdcvgteqrgnlofznvfkjiezworoktzqelwwbl27,male,14.084569733270607,8,2,SOTON/O.Q. 3101307,246.5766939547392,C99,C
28,1,1,uqqaqfklvedqwazarntvxkeyxbhkkbwshjmjothf28,female,78.45171926733289,2,3,349207,136.35647886650904,B96 B98,S
29,1,1,izmvrfoafygmlurspeqhiljkmewvljymrxuxpdpl29,male,27.9268709808336,5,0,330959,506.76493041132034,B82 B84,C
30,0,2,akpzpbqyeaxhwcfqthocdkymwpkwoxqjbribrivw30,female,12.22412673735985,0,2,2629,374.0183242889718,C23 C25 C27,Q
31,0,2,msocikzgvqhvwysaircwjdnkmvaticytkunmfeju31,male,73.94002190090326,8,3,A/5 3536,204.6107319612927,B57 B59 B63 B66,C
32,1,2,icxsyjksfkpriprqajaoxwdoaanvwkvxtbjdqidw32,male,27.73706820260336,0,3,345777,486.7386841738436,C118,C
33,1,3,vpyxamaxbhwveuvtzjzwqjqulkgjwqufmknhnmjf33,male,21.35149890304961,0,3,349248,54.83866068814419,B20,C
34,0,2,cqsegqxiwgtxfxbbdruoglvlsrblwnxlxwvdowyy34,male,15.560205723684817,8,4,112050,308.51443306027403,F38,C
35,1,3,nghnohvuhypvztfqjuhblzdhuvqmvgxjgkqyjsip35,female,30.456274529961814,1,5,35852,3.2237763852000225,E8,C
36,1,1,hbltifbanedrbvkgjumfxwaafcyzhryoruflbmfu36,female,64.13987192495263,0,0,350417,433.67092128697743,C54,C
37,1,3,fbmflqokecadsozmofmqghtjvizawlgvzymbcwkn37,male,11.241704947201335,5,4,35852,152.38228655996076,C47,C
38,0,1,nwlnnbvfegszciicplzzzgpxohnxmkezwobyjxhg38,male,41.79691887451037,4,6,SOTON/O.Q. 3101307,345.3204484785936,E33,Q
39,0,1,ztkxzgigiudikjorjrkeagydntmlfddcrbwbtlcy39,male,35.53405816407282,4,1,370372,101.10021100906181,E50,Q
40,1,3,xmeyhuuwxlumobdhlfmyrvpvwdbqmxawegsztqrn40,male,18.994581587701536,0,0,3101276,328.3617134808867,D20,S
41,1,2,mkrvwciycoiumssxhkcvmglwhnzbjyvxxxolhbvq41,male,56.13054727805211,5,0,343275,96.79481004204446,D50,Q
42,0,3,swpiemtpwsjaaxrbkkdcbjwkqudolendvpsojhsc42,female,14.320946330665528,4,2,374746,147.22501820147204,C65,Q
43,1,1,njemopmuzkswulvokschqsnbtuadweqqdfkuogmb43,male,35.70419144368578,0,5,113784,30.423506174813625,C118,
44,0,1,dielricdbtdnhtqfwunsgfrgjhmyiasqvlyykfsd44,male,41.1805213791339,1,3,36866,116.52613240394894,D48,C
45,1,3,ylzmjdxtqcgrplkvvqixhqvafpldcablwtigviyz45,female,1.713988159371865,3,5,36947,113.32412535572224,B86,C
46,0,3,cahplrmvrncqieuexfsmckuplnzkxolvkbdtzerb46,female,7.862605032560337,1,5,243880,101.17958752976939,B37,
47,0,2,eiddpuirbsdzvytunwqozndzrmonzfmiozqacjlw47,male,21.075255957088014,3,3,17463,4.452999874547081,E49,C
48,1,1,bpujwjtxzxuyuzsgtdqbfnlllfkscxqanqwbakjz48,male,26.55212523692966,1,4,2697,491.06392227169266,B42,Q
49,1,3,izcowvcwipqdnczhkhqhbznnajmtdzhvbrwckfcl49,male,29.222452779959966,0,5,3101278,68.11062575759806,E38,Q
50,1,3,lfkuenauqtwevdmanslawslsrqlsvdbnyklttysd50,male,20.18584265590448,0,2,349249,29.64853664653754,G6,C
51,0,1,ngpcddugqnplbsknyqucrktfjepxmmciucricioz51,male,51.36385110826461,0,4,343276,310.21670551102443,E10,Q
52,0,2,njweereawebluwesmhcmpycbrqdokrvkpqihkpyr52,female,34.03447092474214,0,1,W./C. 14258,89.75810842747622,A20,
53,0,3,wqywmkgvzxagpuqtqthofbadflhqctrbplxmtpbu53,male,12.67709391202054,4,5,12233,46.024093902818485,E33,Q
54,1,3,lwvoegnbheeugzkujuvjgihwsqpgjunhxwlxlwkr54,male,17.609497271992062,0,3,243847,348.51310824591934,F2,Q
55,1,2,swbfsqkemlcbnqfadtslffaimdffisykkltcuzjf55,male,30.294095816589365,4,4,2223,121.7999649553029,C62 C64,Q
56,1,1,dfodlgspwkmqdnakeamsvplilaphvosnqohtgttz56,female,43.92174578659886,5,1,367228,339.8217727950447,A6,C
57,0,2,fzweygebjmqeeawmsdonnvgjtjqvdnxoxhzzgzpg57,female,56.55994116895987,0,1,250655,84.14911901378157,C32,
58,1,2,aedwidkfmujdlszporlxantxytqiinuxrxbsehjc58,male,42.40349237219431,8,6,347054,472.0781496902699,E12,S
59,1,3,dextisxlchushtyyqkwqadhpakiljpfmukazjumk59,female,31.084407849860355,1,1,250647,127.84785519337727,C101,
